"baker","baker_age","baker_occupation","series","episode","signature_bake","show_stopper","hometown","technical","result"
"Stacey",42,"Former school teacher",8,8,"Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Bright' Lemon & Orange Savoy Cake","Radlett, Hertfordshire","3","STAR BAKER"
"Steven",34,"Marketer",8,8,"'Mediterranean Medley' Bedfordshire Clangers","Chestnut Rum Savoy Cake","Watford, Hertfordshire","1","IN"
"Kate",29,"Health and safety inspector",8,9,"Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece","Merseyside","4","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,9,"Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","'Tutu with Opera Filling' Meringue Centrepiece","West Molesey, Surrey","1","STAR BAKER"
"Stacey",42,"Former school teacher",8,9,"'Choux-nicorn and Choux-moji' Choux Buns","'Flamingos in Love' Meringue Centrepiece","Radlett, Hertfordshire","2","OUT"
"Steven",34,"Marketer",8,9,"Key Lime Cheesecake and Bakewell Tart Choux Buns","'Some Air Over the Rainbow' Meringue Centrepiece","Watford, Hertfordshire","3","IN"
"Kate",29,"Health and safety inspector",8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet","Merseyside","3","Runner-up"
"Sophie",33,"Former army officer and trainee stuntwoman",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Ode to the Honey Bee' Entremet","West Molesey, Surrey","2","WINNER"
"Steven",34,"Marketer",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'Yin Yang' Entremet","Watford, Hertfordshire","1","Runner-up"
"Lea",NA,NA,1,2,NA,NA,NA,NA,NA
"Mark",NA,NA,1,2,NA,NA,NA,NA,NA
"Annetha",NA,NA,1,3,NA,NA,NA,NA,NA
"Lea",NA,NA,1,3,NA,NA,NA,NA,NA
"Louise",NA,NA,1,3,NA,NA,NA,NA,NA
"Mark",NA,NA,1,3,NA,NA,NA,NA,NA
"Annetha",NA,NA,1,4,NA,NA,NA,NA,NA
"Jonathan",NA,NA,1,4,NA,NA,NA,NA,NA
"Lea",NA,NA,1,4,NA,NA,NA,NA,NA
"Louise",NA,NA,1,4,NA,NA,NA,NA,NA
"Mark",NA,NA,1,4,NA,NA,NA,NA,NA
"Annetha",NA,NA,1,5,NA,NA,NA,NA,NA
"David",NA,NA,1,5,NA,NA,NA,NA,NA
"Jonathan",NA,NA,1,5,NA,NA,NA,NA,NA
"Lea",NA,NA,1,5,NA,NA,NA,NA,NA
"Louise",NA,NA,1,5,NA,NA,NA,NA,NA
"Mark",NA,NA,1,5,NA,NA,NA,NA,NA
"Annetha",NA,NA,1,6,NA,NA,NA,NA,NA
"David",NA,NA,1,6,NA,NA,NA,NA,NA
"Jasminder",NA,NA,1,6,NA,NA,NA,NA,NA
"Jonathan",NA,NA,1,6,NA,NA,NA,NA,NA
"Lea",NA,NA,1,6,NA,NA,NA,NA,NA
"Louise",NA,NA,1,6,NA,NA,NA,NA,NA
"Mark",NA,NA,1,6,NA,NA,NA,NA,NA
"Keith",NA,NA,2,2,NA,NA,NA,NA,NA
"Keith",NA,NA,2,3,NA,NA,NA,NA,NA
"Simon",NA,NA,2,3,NA,NA,NA,NA,NA
"Ian",NA,NA,2,4,NA,NA,NA,NA,NA
"Keith",NA,NA,2,4,NA,NA,NA,NA,NA
"Simon",NA,NA,2,4,NA,NA,NA,NA,NA
"Urvashi",NA,NA,2,4,NA,NA,NA,NA,NA
"Ben",NA,NA,2,5,NA,NA,NA,NA,NA
"Ian",NA,NA,2,5,NA,NA,NA,NA,NA
"Keith",NA,NA,2,5,NA,NA,NA,NA,NA
"Simon",NA,NA,2,5,NA,NA,NA,NA,NA
"Urvashi",NA,NA,2,5,NA,NA,NA,NA,NA
"Ben",NA,NA,2,6,NA,NA,NA,NA,NA
"Ian",NA,NA,2,6,NA,NA,NA,NA,NA
"Jason",NA,NA,2,6,NA,NA,NA,NA,NA
"Keith",NA,NA,2,6,NA,NA,NA,NA,NA
"Robert",NA,NA,2,6,NA,NA,NA,NA,NA
"Simon",NA,NA,2,6,NA,NA,NA,NA,NA
"Urvashi",NA,NA,2,6,NA,NA,NA,NA,NA
"Ben",NA,NA,2,7,NA,NA,NA,NA,NA
"Ian",NA,NA,2,7,NA,NA,NA,NA,NA
"Jason",NA,NA,2,7,NA,NA,NA,NA,NA
"Keith",NA,NA,2,7,NA,NA,NA,NA,NA
"Robert",NA,NA,2,7,NA,NA,NA,NA,NA
"Simon",NA,NA,2,7,NA,NA,NA,NA,NA
"Urvashi",NA,NA,2,7,NA,NA,NA,NA,NA
"Yasmin",NA,NA,2,7,NA,NA,NA,NA,NA
"Ben",NA,NA,2,8,NA,NA,NA,NA,NA
"Ian",NA,NA,2,8,NA,NA,NA,NA,NA
"Janet",NA,NA,2,8,NA,NA,NA,NA,NA
"Jason",NA,NA,2,8,NA,NA,NA,NA,NA
"Keith",NA,NA,2,8,NA,NA,NA,NA,NA
"Robert",NA,NA,2,8,NA,NA,NA,NA,NA
"Simon",NA,NA,2,8,NA,NA,NA,NA,NA
"Urvashi",NA,NA,2,8,NA,NA,NA,NA,NA
"Yasmin",NA,NA,2,8,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,2,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,3,NA,NA,NA,NA,NA
"Peter",NA,NA,3,3,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,4,NA,NA,NA,NA,NA
"Peter",NA,NA,3,4,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,4,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,5,NA,NA,NA,NA,NA
"Peter",NA,NA,3,5,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,5,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,5,NA,NA,NA,NA,NA
"Manisha",NA,NA,3,6,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,6,NA,NA,NA,NA,NA
"Peter",NA,NA,3,6,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,6,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,6,NA,NA,NA,NA,NA
"Manisha",NA,NA,3,7,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,7,NA,NA,NA,NA,NA
"Peter",NA,NA,3,7,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,7,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,7,NA,NA,NA,NA,NA
"Manisha",NA,NA,3,8,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,8,NA,NA,NA,NA,NA
"Peter",NA,NA,3,8,NA,NA,NA,NA,NA
"Ryan",NA,NA,3,8,NA,NA,NA,NA,NA
"Sarah-Jane",NA,NA,3,8,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,8,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,8,NA,NA,NA,NA,NA
"Cathryn",NA,NA,3,9,NA,NA,NA,NA,NA
"Manisha",NA,NA,3,9,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,9,NA,NA,NA,NA,NA
"Peter",NA,NA,3,9,NA,NA,NA,NA,NA
"Ryan",NA,NA,3,9,NA,NA,NA,NA,NA
"Sarah-Jane",NA,NA,3,9,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,9,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,9,NA,NA,NA,NA,NA
"Cathryn",NA,NA,3,10,NA,NA,NA,NA,NA
"Danny",NA,NA,3,10,NA,NA,NA,NA,NA
"Manisha",NA,NA,3,10,NA,NA,NA,NA,NA
"Natasha",NA,NA,3,10,NA,NA,NA,NA,NA
"Peter",NA,NA,3,10,NA,NA,NA,NA,NA
"Ryan",NA,NA,3,10,NA,NA,NA,NA,NA
"Sarah-Jane",NA,NA,3,10,NA,NA,NA,NA,NA
"Stuart",NA,NA,3,10,NA,NA,NA,NA,NA
"Victoria",NA,NA,3,10,NA,NA,NA,NA,NA
"Toby",NA,NA,4,2,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,3,NA,NA,NA,NA,NA
"Toby",NA,NA,4,3,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,4,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,4,NA,NA,NA,NA,NA
"Mark",NA,NA,4,4,NA,NA,NA,NA,NA
"Toby",NA,NA,4,4,NA,NA,NA,NA,NA
"Ali",NA,NA,4,5,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,5,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,5,NA,NA,NA,NA,NA
"Mark",NA,NA,4,5,NA,NA,NA,NA,NA
"Toby",NA,NA,4,5,NA,NA,NA,NA,NA
"Ali",NA,NA,4,6,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,6,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,6,NA,NA,NA,NA,NA
"Mark",NA,NA,4,6,NA,NA,NA,NA,NA
"Robert",NA,NA,4,6,NA,NA,NA,NA,NA
"Toby",NA,NA,4,6,NA,NA,NA,NA,NA
"Ali",NA,NA,4,7,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,7,NA,NA,NA,NA,NA
"Howard",NA,NA,4,7,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,7,NA,NA,NA,NA,NA
"Mark",NA,NA,4,7,NA,NA,NA,NA,NA
"Robert",NA,NA,4,7,NA,NA,NA,NA,NA
"Toby",NA,NA,4,7,NA,NA,NA,NA,NA
"Ali",NA,NA,4,8,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,8,NA,NA,NA,NA,NA
"Glenn",NA,NA,4,8,NA,NA,NA,NA,NA
"Howard",NA,NA,4,8,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,8,NA,NA,NA,NA,NA
"Mark",NA,NA,4,8,NA,NA,NA,NA,NA
"Robert",NA,NA,4,8,NA,NA,NA,NA,NA
"Toby",NA,NA,4,8,NA,NA,NA,NA,NA
"Ali",NA,NA,4,9,NA,NA,NA,NA,NA
"Christine",NA,NA,4,9,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,9,NA,NA,NA,NA,NA
"Glenn",NA,NA,4,9,NA,NA,NA,NA,NA
"Howard",NA,NA,4,9,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,9,NA,NA,NA,NA,NA
"Mark",NA,NA,4,9,NA,NA,NA,NA,NA
"Robert",NA,NA,4,9,NA,NA,NA,NA,NA
"Toby",NA,NA,4,9,NA,NA,NA,NA,NA
"Ali",NA,NA,4,10,NA,NA,NA,NA,NA
"Beca",NA,NA,4,10,NA,NA,NA,NA,NA
"Christine",NA,NA,4,10,NA,NA,NA,NA,NA
"Deborah",NA,NA,4,10,NA,NA,NA,NA,NA
"Glenn",NA,NA,4,10,NA,NA,NA,NA,NA
"Howard",NA,NA,4,10,NA,NA,NA,NA,NA
"Lucy",NA,NA,4,10,NA,NA,NA,NA,NA
"Mark",NA,NA,4,10,NA,NA,NA,NA,NA
"Robert",NA,NA,4,10,NA,NA,NA,NA,NA
"Toby",NA,NA,4,10,NA,NA,NA,NA,NA
"Claire",NA,NA,5,2,NA,NA,NA,NA,NA
"Claire",NA,NA,5,3,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,3,NA,NA,NA,NA,NA
"Claire",NA,NA,5,4,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,4,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,4,NA,NA,NA,NA,NA
"Diana",NA,NA,5,5,NA,NA,NA,NA,"WD"
"Claire",NA,NA,5,5,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,5,NA,NA,NA,NA,NA
"Iain",NA,NA,5,5,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,5,NA,NA,NA,NA,NA
"Diana",NA,NA,5,6,NA,NA,NA,NA,"IN"
"Claire",NA,NA,5,6,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,6,NA,NA,NA,NA,NA
"Iain",NA,NA,5,6,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,6,NA,NA,NA,NA,NA
"Norman",NA,NA,5,6,NA,NA,NA,NA,NA
"Diana",NA,NA,5,7,NA,NA,NA,NA,"IN"
"Claire",NA,NA,5,7,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,7,NA,NA,NA,NA,NA
"Iain",NA,NA,5,7,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,7,NA,NA,NA,NA,NA
"Norman",NA,NA,5,7,NA,NA,NA,NA,NA
"Diana",NA,NA,5,8,NA,NA,NA,NA,"IN"
"Claire",NA,NA,5,8,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,8,NA,NA,NA,NA,NA
"Iain",NA,NA,5,8,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,8,NA,NA,NA,NA,NA
"Kate",NA,NA,5,8,NA,NA,NA,NA,NA
"Norman",NA,NA,5,8,NA,NA,NA,NA,NA
"Diana",NA,NA,5,9,NA,NA,NA,NA,"IN"
"Claire",NA,NA,5,9,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,9,NA,NA,NA,NA,NA
"Iain",NA,NA,5,9,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,9,NA,NA,NA,NA,NA
"Kate",NA,NA,5,9,NA,NA,NA,NA,NA
"Martha",NA,NA,5,9,NA,NA,NA,NA,NA
"Norman",NA,NA,5,9,NA,NA,NA,NA,NA
"Diana",NA,NA,5,10,NA,NA,NA,NA,"IN"
"Chetna",NA,NA,5,10,NA,NA,NA,NA,NA
"Claire",NA,NA,5,10,NA,NA,NA,NA,NA
"Enwezor",NA,NA,5,10,NA,NA,NA,NA,NA
"Iain",NA,NA,5,10,NA,NA,NA,NA,NA
"Jordan",NA,NA,5,10,NA,NA,NA,NA,NA
"Kate",NA,NA,5,10,NA,NA,NA,NA,NA
"Martha",NA,NA,5,10,NA,NA,NA,NA,NA
"Norman",NA,NA,5,10,NA,NA,NA,NA,NA
"Stu",NA,NA,6,2,NA,NA,NA,NA,NA
"Marie",NA,NA,6,3,NA,NA,NA,NA,NA
"Stu",NA,NA,6,3,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,4,NA,NA,NA,NA,NA
"Marie",NA,NA,6,4,NA,NA,NA,NA,NA
"Stu",NA,NA,6,4,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,5,NA,NA,NA,NA,NA
"Marie",NA,NA,6,5,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,5,NA,NA,NA,NA,NA
"Stu",NA,NA,6,5,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,6,NA,NA,NA,NA,NA
"Marie",NA,NA,6,6,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,6,NA,NA,NA,NA,NA
"Stu",NA,NA,6,6,NA,NA,NA,NA,NA
"Ugnė",NA,NA,6,6,NA,NA,NA,NA,NA
"Alvin",NA,NA,6,7,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,7,NA,NA,NA,NA,NA
"Marie",NA,NA,6,7,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,7,NA,NA,NA,NA,NA
"Stu",NA,NA,6,7,NA,NA,NA,NA,NA
"Ugnė",NA,NA,6,7,NA,NA,NA,NA,NA
"Alvin",NA,NA,6,8,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,8,NA,NA,NA,NA,NA
"Marie",NA,NA,6,8,NA,NA,NA,NA,NA
"Mat",NA,NA,6,8,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,8,NA,NA,NA,NA,NA
"Stu",NA,NA,6,8,NA,NA,NA,NA,NA
"Ugnė",NA,NA,6,8,NA,NA,NA,NA,NA
"Alvin",NA,NA,6,9,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,9,NA,NA,NA,NA,NA
"Marie",NA,NA,6,9,NA,NA,NA,NA,NA
"Mat",NA,NA,6,9,NA,NA,NA,NA,NA
"Paul",NA,NA,6,9,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,9,NA,NA,NA,NA,NA
"Stu",NA,NA,6,9,NA,NA,NA,NA,NA
"Ugnė",NA,NA,6,9,NA,NA,NA,NA,NA
"Alvin",NA,NA,6,10,NA,NA,NA,NA,NA
"Dorret",NA,NA,6,10,NA,NA,NA,NA,NA
"Flora",NA,NA,6,10,NA,NA,NA,NA,NA
"Marie",NA,NA,6,10,NA,NA,NA,NA,NA
"Mat",NA,NA,6,10,NA,NA,NA,NA,NA
"Paul",NA,NA,6,10,NA,NA,NA,NA,NA
"Sandy",NA,NA,6,10,NA,NA,NA,NA,NA
"Stu",NA,NA,6,10,NA,NA,NA,NA,NA
"Ugnė",NA,NA,6,10,NA,NA,NA,NA,NA
"Lee",NA,NA,7,2,NA,NA,NA,NA,NA
"Lee",NA,NA,7,3,NA,NA,NA,NA,NA
"Louise",NA,NA,7,3,NA,NA,NA,NA,NA
"Lee",NA,NA,7,4,NA,NA,NA,NA,NA
"Louise",NA,NA,7,4,NA,NA,NA,NA,NA
"Michael",NA,NA,7,4,NA,NA,NA,NA,NA
"Kate",NA,NA,7,5,NA,NA,NA,NA,NA
"Lee",NA,NA,7,5,NA,NA,NA,NA,NA
"Louise",NA,NA,7,5,NA,NA,NA,NA,NA
"Michael",NA,NA,7,5,NA,NA,NA,NA,NA
"Kate",NA,NA,7,6,NA,NA,NA,NA,NA
"Lee",NA,NA,7,6,NA,NA,NA,NA,NA
"Louise",NA,NA,7,6,NA,NA,NA,NA,NA
"Michael",NA,NA,7,6,NA,NA,NA,NA,NA
"Val",NA,NA,7,6,NA,NA,NA,NA,NA
"Kate",NA,NA,7,7,NA,NA,NA,NA,NA
"Lee",NA,NA,7,7,NA,NA,NA,NA,NA
"Louise",NA,NA,7,7,NA,NA,NA,NA,NA
"Michael",NA,NA,7,7,NA,NA,NA,NA,NA
"Rav",NA,NA,7,7,NA,NA,NA,NA,NA
"Val",NA,NA,7,7,NA,NA,NA,NA,NA
"Kate",NA,NA,7,8,NA,NA,NA,NA,NA
"Lee",NA,NA,7,8,NA,NA,NA,NA,NA
"Louise",NA,NA,7,8,NA,NA,NA,NA,NA
"Michael",NA,NA,7,8,NA,NA,NA,NA,NA
"Rav",NA,NA,7,8,NA,NA,NA,NA,NA
"Tom",NA,NA,7,8,NA,NA,NA,NA,NA
"Val",NA,NA,7,8,NA,NA,NA,NA,NA
"Benjamina",NA,NA,7,9,NA,NA,NA,NA,NA
"Kate",NA,NA,7,9,NA,NA,NA,NA,NA
"Lee",NA,NA,7,9,NA,NA,NA,NA,NA
"Louise",NA,NA,7,9,NA,NA,NA,NA,NA
"Michael",NA,NA,7,9,NA,NA,NA,NA,NA
"Rav",NA,NA,7,9,NA,NA,NA,NA,NA
"Tom",NA,NA,7,9,NA,NA,NA,NA,NA
"Val",NA,NA,7,9,NA,NA,NA,NA,NA
"Benjamina",NA,NA,7,10,NA,NA,NA,NA,NA
"Kate",NA,NA,7,10,NA,NA,NA,NA,NA
"Lee",NA,NA,7,10,NA,NA,NA,NA,NA
"Louise",NA,NA,7,10,NA,NA,NA,NA,NA
"Michael",NA,NA,7,10,NA,NA,NA,NA,NA
"Rav",NA,NA,7,10,NA,NA,NA,NA,NA
"Selasi",NA,NA,7,10,NA,NA,NA,NA,NA
"Tom",NA,NA,7,10,NA,NA,NA,NA,NA
"Val",NA,NA,7,10,NA,NA,NA,NA,NA
"Peter",NA,NA,8,2,NA,NA,NA,NA,NA
"Chris",NA,NA,8,3,NA,NA,NA,NA,NA
"Peter",NA,NA,8,3,NA,NA,NA,NA,NA
"Chris",NA,NA,8,4,NA,NA,NA,NA,NA
"Flo",NA,NA,8,4,NA,NA,NA,NA,NA
"Peter",NA,NA,8,4,NA,NA,NA,NA,NA
"Chris",NA,NA,8,5,NA,NA,NA,NA,NA
"Flo",NA,NA,8,5,NA,NA,NA,NA,NA
"Peter",NA,NA,8,5,NA,NA,NA,NA,NA
"Tom",NA,NA,8,5,NA,NA,NA,NA,NA
"Chris",NA,NA,8,6,NA,NA,NA,NA,NA
"Flo",NA,NA,8,6,NA,NA,NA,NA,NA
"James",NA,NA,8,6,NA,NA,NA,NA,NA
"Peter",NA,NA,8,6,NA,NA,NA,NA,NA
"Tom",NA,NA,8,6,NA,NA,NA,NA,NA
"Chris",NA,NA,8,7,NA,NA,NA,NA,NA
"Flo",NA,NA,8,7,NA,NA,NA,NA,NA
"James",NA,NA,8,7,NA,NA,NA,NA,NA
"Julia",NA,NA,8,7,NA,NA,NA,NA,NA
"Peter",NA,NA,8,7,NA,NA,NA,NA,NA
"Tom",NA,NA,8,7,NA,NA,NA,NA,NA
"Chris",NA,NA,8,8,NA,NA,NA,NA,NA
"Flo",NA,NA,8,8,NA,NA,NA,NA,NA
"James",NA,NA,8,8,NA,NA,NA,NA,NA
"Julia",NA,NA,8,8,NA,NA,NA,NA,NA
"Peter",NA,NA,8,8,NA,NA,NA,NA,NA
"Tom",NA,NA,8,8,NA,NA,NA,NA,NA
"Yan",NA,NA,8,8,NA,NA,NA,NA,NA
"Chris",NA,NA,8,9,NA,NA,NA,NA,NA
"Flo",NA,NA,8,9,NA,NA,NA,NA,NA
"James",NA,NA,8,9,NA,NA,NA,NA,NA
"Julia",NA,NA,8,9,NA,NA,NA,NA,NA
"Liam",NA,NA,8,9,NA,NA,NA,NA,NA
"Peter",NA,NA,8,9,NA,NA,NA,NA,NA
"Tom",NA,NA,8,9,NA,NA,NA,NA,NA
"Yan",NA,NA,8,9,NA,NA,NA,NA,NA
"Chris",NA,NA,8,10,NA,NA,NA,NA,NA
"Flo",NA,NA,8,10,NA,NA,NA,NA,NA
"James",NA,NA,8,10,NA,NA,NA,NA,NA
"Julia",NA,NA,8,10,NA,NA,NA,NA,NA
"Liam",NA,NA,8,10,NA,NA,NA,NA,NA
"Peter",NA,NA,8,10,NA,NA,NA,NA,NA
"Stacey",NA,NA,8,10,NA,NA,NA,NA,NA
"Tom",NA,NA,8,10,NA,NA,NA,NA,NA
"Yan",NA,NA,8,10,NA,NA,NA,NA,NA
"Antony",NA,NA,9,1,NA,NA,NA,"12","IN"
"Briony",NA,NA,9,1,NA,NA,NA,"2","IN"
"Dan",NA,NA,9,1,NA,NA,NA,"4","IN"
"Jon",NA,NA,9,1,NA,NA,NA,"5","IN"
"Karen",NA,NA,9,1,NA,NA,NA,"6","IN"
"Kim-Joy",NA,NA,9,1,NA,NA,NA,"10","IN"
"Luke",NA,NA,9,1,NA,NA,NA,"8","IN"
"Rahul",NA,NA,9,1,NA,NA,NA,"7","IN"
"Ruby",NA,NA,9,1,NA,NA,NA,"1","IN"
"Terry",NA,NA,9,1,NA,NA,NA,"9","IN"
"Imelda",NA,NA,9,1,NA,NA,NA,"11","OUT"
"Manon",NA,NA,9,1,NA,NA,NA,"3","STAR BAKER"
"Antony",NA,NA,9,2,NA,NA,NA,"9","IN"
"Briony",NA,NA,9,2,NA,NA,NA,"5","IN"
"Dan",NA,NA,9,2,NA,NA,NA,"3","IN"
"Jon",NA,NA,9,2,NA,NA,NA,"1","IN"
"Karen",NA,NA,9,2,NA,NA,NA,"11","IN"
"Kim-Joy",NA,NA,9,2,NA,NA,NA,"4","IN"
"Manon",NA,NA,9,2,NA,NA,NA,"6","IN"
"Ruby",NA,NA,9,2,NA,NA,NA,"10","IN"
"Terry",NA,NA,9,2,NA,NA,NA,"8","IN"
"Luke",NA,NA,9,2,NA,NA,NA,"7","OUT"
"Rahul",NA,NA,9,2,NA,NA,NA,"2","STAR BAKER"
"Imelda",NA,NA,9,2,NA,NA,NA,NA,NA
"Briony",NA,NA,9,3,NA,NA,NA,"9","IN"
"Dan",NA,NA,9,3,NA,NA,NA,"6","IN"
"Jon",NA,NA,9,3,NA,NA,NA,"2","IN"
"Karen",NA,NA,9,3,NA,NA,NA,"5","IN"
"Kim-Joy",NA,NA,9,3,NA,NA,NA,"10","IN"
"Manon",NA,NA,9,3,NA,NA,NA,"3","IN"
"Ruby",NA,NA,9,3,NA,NA,NA,"7","IN"
"Terry",NA,NA,9,3,NA,NA,NA,"1","IN"
"Antony",NA,NA,9,3,NA,NA,NA,"8","OUT"
"Rahul",NA,NA,9,3,NA,NA,NA,"4","STAR BAKER"
"Imelda",NA,NA,9,3,NA,NA,NA,NA,NA
"Luke",NA,NA,9,3,NA,NA,NA,NA,NA
"Terry",NA,NA,9,4,NA,NA,NA,NA,"[a]"
"Briony",NA,NA,9,4,NA,NA,NA,"5","IN"
"Jon",NA,NA,9,4,NA,NA,NA,"3","IN"
"Karen",NA,NA,9,4,NA,NA,NA,"7","IN"
"Kim-Joy",NA,NA,9,4,NA,NA,NA,"6","IN"
"Manon",NA,NA,9,4,NA,NA,NA,"8","IN"
"Rahul",NA,NA,9,4,NA,NA,NA,"4","IN"
"Ruby",NA,NA,9,4,NA,NA,NA,"2","IN"
"Dan",NA,NA,9,4,NA,NA,NA,"1","STAR BAKER"
"Antony",NA,NA,9,4,NA,NA,NA,NA,NA
"Imelda",NA,NA,9,4,NA,NA,NA,NA,NA
"Luke",NA,NA,9,4,NA,NA,NA,NA,NA
"Briony",NA,NA,9,5,NA,NA,NA,"6","IN"
"Dan",NA,NA,9,5,NA,NA,NA,"2","IN"
"Jon",NA,NA,9,5,NA,NA,NA,"7","IN"
"Manon",NA,NA,9,5,NA,NA,NA,"5","IN"
"Rahul",NA,NA,9,5,NA,NA,NA,"3","IN"
"Ruby",NA,NA,9,5,NA,NA,NA,"1","IN"
"Karen",NA,NA,9,5,NA,NA,NA,"9","OUT"
"Terry",NA,NA,9,5,NA,NA,NA,"8","OUT"
"Kim-Joy",NA,NA,9,5,NA,NA,NA,"4","STAR BAKER"
"Antony",NA,NA,9,5,NA,NA,NA,NA,NA
"Imelda",NA,NA,9,5,NA,NA,NA,NA,NA
"Luke",NA,NA,9,5,NA,NA,NA,NA,NA
"Jon",NA,NA,9,6,NA,NA,NA,"2","IN"
"Kim-Joy",NA,NA,9,6,NA,NA,NA,"5","IN"
"Manon",NA,NA,9,6,NA,NA,NA,"4","IN"
"Rahul",NA,NA,9,6,NA,NA,NA,"3","IN"
"Ruby",NA,NA,9,6,NA,NA,NA,"7","IN"
"Dan",NA,NA,9,6,NA,NA,NA,"6","OUT"
"Briony",NA,NA,9,6,NA,NA,NA,"1","STAR BAKER"
"Antony",NA,NA,9,6,NA,NA,NA,NA,NA
"Imelda",NA,NA,9,6,NA,NA,NA,NA,NA
"Karen",NA,NA,9,6,NA,NA,NA,NA,NA
"Luke",NA,NA,9,6,NA,NA,NA,NA,NA
"Terry",NA,NA,9,6,NA,NA,NA,NA,NA
"Briony",NA,NA,9,7,NA,NA,NA,"5","IN"
"Manon",NA,NA,9,7,NA,NA,NA,"2","IN"
"Rahul",NA,NA,9,7,NA,NA,NA,"1","IN"
"Ruby",NA,NA,9,7,NA,NA,NA,"3","IN"
"Jon",NA,NA,9,7,NA,NA,NA,"4","OUT"
"Kim-Joy",NA,NA,9,7,NA,NA,NA,"6","STAR BAKER"
"Antony",NA,NA,9,7,NA,NA,NA,NA,NA
"Dan",NA,NA,9,7,NA,NA,NA,NA,NA
"Imelda",NA,NA,9,7,NA,NA,NA,NA,NA
"Karen",NA,NA,9,7,NA,NA,NA,NA,NA
"Luke",NA,NA,9,7,NA,NA,NA,NA,NA
"Terry",NA,NA,9,7,NA,NA,NA,NA,NA
"Briony",NA,NA,9,8,NA,NA,NA,"1","IN"
"Kim-Joy",NA,NA,9,8,NA,NA,NA,"2","IN"
"Rahul",NA,NA,9,8,NA,NA,NA,"5","IN"
"Manon",NA,NA,9,8,NA,NA,NA,"4","OUT"
"Ruby",NA,NA,9,8,NA,NA,NA,"3","STAR BAKER"
"Antony",NA,NA,9,8,NA,NA,NA,NA,NA
